rank,title,ratings,rating_num,meta
61,许三观卖血记,8.7,59801,余华 / 南海出版公司 / 1998-9 / 16.80元
62,1995-2005夏至未至,7.4,67700,郭敬明 / 春风文艺出版社 / 2005-2 / 24.00元
63,盗墓笔记,8.4,60179,南派三叔 / 中国友谊出版公司 / 2007-1 / 26.80元
64,撒哈拉的故事,9.0,56966,三毛 / 皇冠出版社 / 1976 / 160 TWD
65,霍乱时期的爱情,8.9,57026,[哥伦比亚] 加西亚·马尔克斯 / 杨玲 / 南海出版公司 / 2012-9-1 / 39.50元
66,哈利·波特与凤凰社,8.7,57763,[英] J. K. 罗琳 / 马爱农 / 人民文学出版社 / 2003-9 / 59.00元
67,喜宝,8.1,42340,亦舒 / 新世界出版社 / 2007-2 / 22.00元
68,三生三世 十里桃花,8.1,63264,唐七公子 / 沈阳出版社 / 2009-1 / 26.80
69,海边的卡夫卡,8.1,60454,[日] 村上春树 / 林少华 / 上海译文出版社 / 2003-4 / 25.00元
70,岛上书店,7.6,63591,[美] 加·泽文 / 孙仲旭 / 江苏凤凰文艺出版社 / 2015-5 / CNY 35.00
71,文化苦旅,7.8,62366,余秋雨 / 东方出版中心 / 2001-4 / 22.00元
72,基督山伯爵,8.9,50117,大仲马 / 周克希 / 上海译文出版社 / 1991-12-1 / 43.90元
73,窗边的小豆豆,8.7,56622,[日] 黑柳彻子 著 / 赵玉皎 / 南海出版公司 / 2003-1 / 20.00元
74,三国演义（全二册）,9.2,53948,[明] 罗贯中 / 人民文学出版社 / 1998-05 / 39.50元
75,黄金时代,8.7,55736,王小波 / 花城出版社 / 1999-3 / 19.00元
76,悟空传,8.4,56938,今何在 / 光明日报出版社 / 2001-4 / 14.80元
77,兄弟（上）,8.3,57402,余华 / 上海文艺出版社 / 2005-8 / 16.00元
78,呼啸山庄,8.4,56218,艾米莉·勃朗特 / 张扬 / 人民文学出版社 / 1999-1 / 27.30元
79,笑傲江湖（全四册）,8.9,49123,金庸 / 生活·读书·新知三联书店 / 1994-5 / 76.80元
80,少有人走的路,8.3,54129,[美] M·斯科特·派克 / 于海生 / 吉林文史出版社 / 2007-1 / 26.00元
81,民主的细节,8.6,52984,刘瑜 / 上海三联书店 / 2009-6 / 25.00
82,亲爱的安德烈,8.7,52529,龙应台 / 人民文学出版社 / 2008-12 / 26.00
83,灿烂千阳,8.7,51277,[美] 卡勒德·胡赛尼 / 李继宏 / 上海人民出版社 / 2007-9 / 28.00元
84,老人与海,8.3,52727,海明威 / 吴劳 / 上海译文出版社 / 1999-10 / 8.20元
85,遇见未知的自己,8.1,53509,张德芬 / 华夏出版社 / 2008-1 / 29.00
86,一九八四·动物农场,9.2,24419,[英] 乔治·奥威尔 / 董乐山 / 上海译文出版社 / 2003-4 / 23.00元
87,福尔摩斯探案全集（上中下）,9.2,47887,[英] 阿·柯南道尔 / 丁钟华 等 / 群众出版社 / 1981-8 / 53.00元/68.00元
88,牧羊少年奇幻之旅,8.6,50555,[巴西]保罗·柯艾略 / 丁文林 / 南海出版公司 / 2009-3-1 / 25.00元
89,小时代1.0折纸时代,6.6,59574,郭敬明 / 长江文艺出版社 / 2008-10 / 29.80元
90,洛丽塔,7.7,53002,[美] 弗拉基米尔·纳博科夫 / 主万 / 上海译文出版社 / 2005-12 / 27.00元
91,百年孤独,8.9,47204,[哥伦比亚] 加西亚·马尔克斯 / 黄锦炎 / 上海译文出版社 / 1989-10 / 12.70元
92,1Q84 BOOK 2,8.4,49146,[日] 村上春树 / 施小炜 / 南海出版公司 / 2010-6 / 36.00元
93,素年锦时,7.8,51397,安妮宝贝 / 作家出版社 / 2007-9 / 27.00元
94,情书,8.6,46652,[日] 岩井俊二 / 穆晓芳 / 天津人民出版社 / 2004-7 / 18.00元
95,第一次的亲密接触,7.4,52207,蔡智恒 / 知识出版社 / 1999-11-1 / 12.80
96,神雕侠侣,8.8,44798,金庸 / 生活·读书·新知三联书店 / 1994-5 / 76.8
97,一座城池,7.4,51316,韩寒 / 二十一世纪出版社 / 2006-1 / 19.90元
98,茶花女,8.1,47367,小仲马 / 王振孙 / 外国文学出版社 / 1997-3 / 9.00元
99,麦田里的守望者,7.9,48668,[美国] J. D. 塞林格 / 施咸荣 / 译林出版社 / 1997-2 / 7.80元
100,他的国,7.5,50037,韩寒 / 万卷出版公司 / 2009-1 / 25.00元
101,彼岸花,7.8,48275,安妮宝贝 / 南海出版公司 / 2001-9 / 20.00元
102,西决,8.0,46792,笛安 / 长江文艺出版社 / 2009-3 / 22.80元
