Top174,左耳,7.0
Top175,鹿鼎记（全五册）,8.8
Top176,荆棘鸟,8.6
Top177,左手倒影，右手年华。,6.7
Top178,零下一度,7.2
Top179,像少年啦飞驰,7.3
Top180,寻路中国,9.0
Top181,被窝是青春的坟墓,7.8
Top182,我们台湾这些年,7.4
Top183,关于莉莉周的一切,7.7
Top184,1Q84 BOOK 3,7.6
Top185,机器猫哆啦A梦23,9.4
Top186,阿Q正传,8.6
Top187,乖，摸摸头,7.5
Top188,大地之灯,8.2
Top189,明朝那些事儿（伍）,8.8
Top190,盗墓笔记3,8.4
Top191,黄金时代,8.8
Top192,麦琪的礼物,8.6
Top193,骆驼祥子,8.2
Top194,格林童话全集,8.9
Top195,如何阅读一本书,8.4
Top196,摆渡人,6.8
Top197,当我们谈论爱情时我们在谈论什么,7.8
Top198,尘埃落定,8.4
Top199,水仙已乘鲤鱼去,7.8
Top200,历史深处的忧虑,9.0
Top201,小时代2.0虚铜时代,6.5
Top202,嫌疑人X的献身,9.0
Top203,金锁记,8.5
Top204,你好，旧时光（上 下）,8.8
Top205,东霓,8.1
Top206,海贼王,9.5
Top207,那些回不去的年少时光,8.5
Top208,孩子你慢慢来,8.8
Top209,橙,8.3
Top210,悲惨世界（上中下）,8.9
Top211,盗墓笔记4,8.4
Top212,巴别塔之犬,7.7
Top213,香水,8.5
Top214,梦里花落知多少,8.8
Top215,一只特立独行的猪,8.8
Top216,史蒂夫·乔布斯传,8.7
Top217,看不见的城市,8.8
Top218,长恨歌,8.2
Top219,一个人的朝圣,8.1
Top220,局外人,9.0
Top221,匆匆那年（上下）,8.3
Top222,草样年华,7.2
Top223,往事并不如烟,8.6
Top224,蔷薇岛屿,8.0
Top225,我的路,8.6
Top226,菊与刀,8.2
Top227,倾城之恋,8.7
Top228,刀锋,9.0
Top229,球状闪电,8.7
Top230,谁动了我的奶酪？,7.2
Top231,飞鸟集,8.8
Top232,七夜雪,8.5
Top233,曾有一个人，爱我如生命,7.6
Top234,那些年，我们一起追的女孩,8.2
Top235,伊豆的舞女,8.1
Top236,世界尽头与冷酷仙境,8.5
Top237,傲慢与偏见,9.0
Top238,最初的爱情 最后的仪式,8.0
Top239,鬼吹灯之云南虫谷,8.0
Top240,明朝那些事儿（柒）：大结局,9.0
Top241,秘密,7.3
Top242,把时间当作朋友,8.5
Top243,天使与魔鬼,8.2
Top244,拆掉思维里的墙,7.9
Top245,佛祖在一号线,8.2
Top246,明朝那些事儿（陆）,8.9
Top247,倚天屠龙记(共四册),8.5
Top248,阿狸·梦之城堡,9.0
Top249,杜拉拉2华年似水,7.3
Top250,不朽,7.6
