Top181,爆裂鼓手,8.6
Top182,达拉斯买家俱乐部,8.6
Top183,未麻的部屋,8.8
Top184,惊魂记,8.8
Top185,迁徙的鸟,9.1
Top186,绿里奇迹,8.7
Top187,魔女宅急便,8.4
Top188,荒野生存,8.6
Top189,勇闯夺命岛,8.5
Top190,再次出发之纽约遇见你,8.5
Top191,牯岭街少年杀人事件,8.7
Top192,东京物语,9.2
Top193,卡萨布兰卡,8.6
Top194,被解救的姜戈,8.5
Top195,燕尾蝶,8.6
Top196,末路狂花,8.7
Top197,这个男人来自地球,8.5
Top198,终结者2：审判日,8.5
Top199,变脸,8.4
Top200,英国病人,8.4
Top201,忠犬八公物语,9.0
Top202,青蛇,8.4
Top203,E.T. 外星人,8.5
Top204,哪吒闹海,8.8
Top205,叫我第一名,8.6
Top206,源代码,8.3
Top207,发条橙,8.4
Top208,黄金三镖客,9.1
Top209,新龙门客栈,8.4
Top210,黑客帝国3：矩阵革命,8.5
Top211,美国丽人,8.4
Top212,穆赫兰道,8.3
Top213,非常嫌疑犯,8.6
Top214,城市之光,9.2
Top215,无耻混蛋,8.4
Top216,上帝也疯狂,8.6
Top217,初恋这件小事,8.2
Top218,勇士,8.9
Top219,爱·回家,9.0
Top220,蓝色大门,8.3
Top221,曾经,8.3
Top222,模仿游戏,8.5
Top223,无敌破坏王,8.6
Top224,大卫·戈尔的一生,8.7
Top225,麦兜故事,8.5
Top226,血钻,8.5
Top227,暖暖内含光,8.4
Top228,蝴蝶,8.6
Top229,国王的演讲,8.3
Top230,遗愿清单,8.5
Top231,巴黎淘气帮,8.6
Top232,与狼共舞,8.9
Top233,爱在午夜降临前,8.7
Top234,枪火,8.6
Top235,荒岛余生,8.4
Top236,疯狂的石头,8.2
Top237,偷拐抢骗,8.5
Top238,千钧一发,8.7
Top239,夜访吸血鬼,8.3
Top240,月球,8.5
Top241,我爱你,9.0
Top242,寿司之神,8.8
Top243,中央车站,8.7
Top244,爱在暹罗,8.3
Top245,廊桥遗梦,8.5
Top246,罪恶之城,8.4
Top247,彗星来的那一夜,8.3
Top248,两小无猜,8.1
Top249,黑鹰坠落,8.5
Top250,假如爱有天意,8.2
